,FACILITY ID,FACILITY NAME,RECORD ID, PROGRAM NAME,PROGRAM ELEMENT (PE),PE DESCRIPTION,FACILITY ADDRESS,FACILITY CITY,FACILITY  STATE,FACILITY ZIP,FACILITY LATITUDE,FACILITY LONGITUDE,OWNER ID,OWNER NAME,OWNER ADDRESS,OWNER CITY,OWNER STATE,OWNER ZIP,Location,Census Tracts 2010,2011 Supervisorial District Boundaries (Official),Board Approved Statistical Areas,Zip Codes
11041,FA0157912,JAMBA JUICE #10,PR0146009,JAMBA JUICE #10,1631,RESTAURANT (0-30) SEATS MODERATE RISK,14622 VENTURA BLVD STE 106,SHERMAN OAKS,CA,91403,34.15125277,-118.45176940000002,OW0106857,FC JUICE PARTNERS CALIFORNIA LLC,650 S MAIN ST,LAS VEGAS,NV,89101,"(34.1512527681, -118.4517693536)",463.0,3.0,44.0,19732.0
34051,FA0049772,STUFF I EAT,PR0038087,STUFF I EAT,1635,RESTAURANT (31-60) SEATS HIGH RISK,114 N MARKET ST,INGLEWOOD,CA,90301,33.96333684,-118.3516885,OW0034115,STUFF I EAT INC,114  N MARKET ST,INGLEWOOD,CA,90301,"(33.9633368374, -118.3516885265)",944.0,2.0,13.0,25421.0
24452,FA0055560,YUMMY'S,PR0039679,YUMMY'S,1631,RESTAURANT (0-30) SEATS MODERATE RISK,250 N ROBERTSON BLVD STE #109,BEVERLY HILLS,CA,90211,34.06961282,-118.3837363,OW0025492,NABER RUJEIH MICHAEL ET AL,250  N ROBERTSON BLVD #109,BEVERLY HILLS,CA,90211,"(34.0696128203, -118.3837363371)",1338.0,3.0,292.0,24347.0
17566,FA0180497,EL REGALO DE MICHOACAN,PR0174267,EL REGALO DE MICHOACAN,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",6020 E OLYMPIC BLVD,LOS ANGELES,CA,90022,34.01332365,-118.14330359999998,OW0126995,JUAN DIEGO SALGADO SANCHEZ,3816 STICHMAN AVE,BALDWIN PARK,CA,91706,"(34.0133236518, -118.1433035602)",1967.0,1.0,162.0,23440.0
1985,FA0261735,PLAZA SUSHI,PR0212362,PLAZA SUSHI,1632,RESTAURANT (0-30) SEATS HIGH RISK,928 S WESTERN AVE UNIT 119,LOS ANGELES,CA,90006,34.055136,-118.3090473,OW0253301,ANDY MOON,928 S WESTERN AVE UNIT 119,LOS ANGELES,CA,90006,"(34.055136, -118.3090472981)",1187.0,2.0,372.0,22723.0
5464,FA0058781,BURGER KING #2181,PR0033800,BURGER KING #2181,1637,RESTAURANT (61-150) SEATS MODERATE RISK,12730 LA MIRADA BLVD,LA MIRADA,CA,90638,33.91632818,-118.0114527,OW0005871,"CALIFORNIA FOOD MANAGEMENT, LLC.",8306 WILSHIRE BLVD # 5002,BEVERLY HILLS,CA,90211-2304,"(33.9163281832, -118.0114527096)",1932.0,4.0,315.0,25732.0
26223,FA0059924,CJ'S CAFE BALDWIN HILLS,PR0024675,CJ'S CAFE BALDWIN HILLS,1638,RESTAURANT (61-150) SEATS HIGH RISK,3655 S LA BREA AVE,LOS ANGELES,CA,90016,34.01948352,-118.35577930000001,OW0027250,"PADILLA, JESSICA, ET AL",3655  S LA BREA AVE,LOS ANGELES,CA,90016,"(34.0194835236, -118.3557792575)",900.0,2.0,20.0,23077.0
25162,FA0166567,NORM'S RESTAURANT,PR0156882,NORM'S RESTAURANT,1641,RESTAURANT (151 + ) SEATS HIGH RISK,14810 E WHITTIER BLVD,WHITTIER,CA,90603,33.94986363,-118.0098888,OW0129683,"NORM'S RESTAURANTS, LLC.",17904 LAKEWOOD BLVD,BELLFLOWER,CA,90706,"(33.9498636267, -118.0098888453)",2105.0,4.0,108.0,25725.0
32249,FA0070596,SMART & FINAL #363,PR0017268,SMART & FINAL #363,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",939 N WESTERN AVE,LOS ANGELES,CA,90029,34.08798507,-118.30939129999999,OW0033212,SMART & FINAL STORES LLC,P.O. BOX 512377,LOS ANGELES,CA,90051-0377,"(34.087985067, -118.3093912544)",1429.0,3.0,387.0,23669.0
19265,FA0222778,GAAM RESTAURANT,PR0177817,GAAM RESTAURANT,1638,RESTAURANT (61-150) SEATS HIGH RISK,3465 W 6TH ST # 50,LOS ANGELES,CA,90020,34.06363171,-118.29705109999999,OW0227569,"KYC PARTNERS, INC.",3465 W 6TH ST # 50,LOS ANGELES,CA,90020,"(34.0636317063, -118.2970510556)",1301.0,2.0,381.0,23081.0
